"worklist_id","is_historical","num_claims","total_handle_time_hrs","analyst_daily_hours","num_claims_fit_in_day","max_possible_recovery"
"WL-001","1","21","23.04","8.0","21","15453.77"
"WL-002","1","18","23.77","8.0","18","21740.53"
"WL-003","1","20","18.61","8.0","20","10697.36"
"WL-004","1","24","27.7","8.0","24","26478.24"
"WL-005","1","22","23.33","8.0","22","14817.11"
"WL-006","1","22","24.38","8.0","22","13284.02"
"WL-007","1","17","20.66","8.0","17","21439.73"
"WL-008","1","23","23.84","8.0","23","16975.0"
"WL-009","1","25","25.24","8.0","25","11123.06"
"WL-010","1","21","20.22","8.0","21","20081.8"
"WL-011","1","20","20.81","8.0","20","15010.37"
"WL-012","1","24","28.43","8.0","24","22899.83"
"WL-013","1","22","23.82","8.0","22","19162.24"
"WL-014","1","16","19.68","8.0","16","15550.41"
"WL-015","1","18","19.22","8.0","18","14449.81"
"WL-016","1","15","17.37","8.0","15","11245.45"
"WL-017","1","20","22.23","8.0","20","16993.33"
"WL-018","1","19","20.89","8.0","19","18199.91"
"WL-019","1","25","27.95","8.0","25","26283.4"
"WL-020","1","21","25.62","8.0","21","15395.59"
"WL-021","1","25","27.17","8.0","25","23223.86"
"WL-022","1","22","25.05","8.0","22","27256.71"
"WL-023","1","24","24.94","8.0","24","14608.98"
"WL-024","1","17","18.59","8.0","17","22812.33"
"WL-025","0","17","20.89","8.0","17","11026.05"
"WL-026","0","22","24.68","8.0","22","19037.54"
"WL-027","0","25","31.82","8.0","25","38581.71"
"WL-028","0","23","25.48","8.0","23","24762.37"
"WL-029","0","20","24.24","8.0","20","15195.81"
"WL-030","0","25","29.45","8.0","25","23715.57"
"WL-031","0","19","24.07","8.0","19","20627.37"
"WL-032","0","25","29.53","8.0","25","27421.04"
"WL-033","0","24","28.87","8.0","24","25593.31"
"WL-034","0","25","29.6","8.0","25","28896.44"
"WL-035","0","20","19.15","8.0","20","12897.4"
"WL-036","0","19","23.5","8.0","19","29695.1"
"WL-037","0","22","24.07","8.0","22","12773.68"
"WL-038","0","16","18.87","8.0","16","16761.13"
"WL-039","0","17","15.45","8.0","17","14555.81"
"WL-040","0","17","19.14","8.0","17","10334.98"
