worklist_id,claims_selected_in_8hrs,used_handle_time_hrs,estimated_recovery_8hrs,estimated_total_recovery,estimated_recovery_capture_8hrs
WL-025,6,7.7299999999999995,19007.6307459486,22108.853286977544,0.8597293807700279
WL-026,7,7.73,23223.267467793776,31638.44550329502,0.7340204962148081
WL-027,6,7.969999999999999,37311.464329762624,66030.14785114114,0.5650671025889246
WL-028,7,7.99,26669.64573445607,33174.72805136742,0.8039145247298201
WL-029,6,7.82,19790.579334702048,28071.17780247965,0.7050142132958118
WL-030,6,7.98,25788.499127035975,32229.31580909415,0.8001565804186024
WL-031,6,7.75,25796.90111972098,33962.52491633913,0.7595695898131024
WL-032,5,7.76,24859.22570228749,39070.649676743546,0.6362634332411606
WL-033,5,7.76,30750.65604579662,39831.38221403525,0.7720208121464867
WL-034,5,7.9399999999999995,30741.28635873703,40018.5878911727,0.7681751900475715
WL-035,7,7.94,14795.959343442983,18744.459807844207,0.7893510666683042
WL-036,6,7.73,29928.46265119591,46147.259510601165,0.64854257801204
WL-037,6,7.94,15186.303246298608,20033.851423267355,0.7580321389755944
WL-038,6,7.959999999999999,22659.78846642867,24785.74043564545,0.914226812197252
WL-039,9,7.990000000000001,18068.70073607023,20086.73180375755,0.8995341259393022
WL-040,8,7.97,13948.85718326228,16315.909897224712,0.8549236463750599
